Group,Session1Trial1,Session1Trial2,Session1Trial3,Session1Trial4,Session1Trial5,Session1Trial6,Session1Trial7,Session1Trial8,Session1Trial9
0011-0012,0.0612403509240439,-0.165559039787205,0.0354879505611814,0.357306550935331,0.136885180530091,0.739783612693096,0.725498316773004,0.888685862440279,0.878439210650133
0021-0022,0.175620571160978,0.195314722143213,0.459834042873216,0.708140557634047,0.598016188001171,0.287210500411523,0.86226013224197,0.748914019075207,0.658615415593166
0111-0112,0.112332189440528,0.252198473958062,0.123316939607715,0.427389332495089,0.16584702197977,0.120093768898782,0.581945093437948,0.699634436188324,0.879197853529542
0121-0122,0.386711911934122,0.317743960126013,0.205310682687275,-0.36826321279705,-0.16610973908148,-0.274431346377909,0.722207218220885,0.58781540335208,0.893466671507696
0131-0132,0.127282993006649,-0.0342933587374018,0.195560869337296,0.0673740052242712,0.271392504918132,0.100910058171811,0.838780990294329,0.634514111969863,0.926730831967737
1001-1002,0.154595870321168,-0.0971018482893632,0.08142171258526,0.184714873023137,0.128774529309059,0.230324442086074,0.844190023278401,0.815171061770781,0.855603929782098
1091-1092,0.243013255283315,0.429151937993007,0.162440325114257,0.442016435446046,0.20702084956074,0.538963139897293,0.800212905281939,0.826143964774968,0.647659554060176
1101-1102,0.238628987226786,-0.0692126151490137,0.0719996370041638,0.192831129789491,0.326956405774217,0.0811389087662367,0.850595977970654,0.923275241126605,0.939264486381108
1191-1192,0.259972045381295,-0.109507086934404,-0.15389406861457,-0.249142465130612,-0.0734065379548942,-0.128072745581677,0.832181544752633,0.879750926399073,0.896190286060094
2001-2002,0.453157686842634,-0.151959235289684,0.156240300114747,0.260215924516723,0.337570942042779,0.677568204846289,0.82767575790164,0.746001561684758,0.772247296199493
2091-2092,-0.0263661903213438,0.0821029246004664,0.389527214925055,0.420319300308923,0.243707369480394,0.376344707596323,0.649197990184867,0.773749384858608,0.952755905511811
2101-2102,0.287480159909527,0.234286839748871,-0.12222652503943,0.293654678897626,0.247502900044254,-0.121104550418325,0.927572309604483,0.786550977980193,0.782838343204441
2191-2192,-0.0283491656335437,0.125514023749633,0.352450858258145,0.442480229793669,0.178612289749474,0.0700472471348259,0.729013031230151,0.862776746121112,0.819351654106677
3001-3002,0.329261798932657,0.210231329748294,0.112578484606741,0.0951098995235593,0.296473795661469,0.243410000792121,0.991200551576122,0.967741935483871,1
3091-3092,-0.00280983120109911,0.0315158622597758,-0.183541596867382,0.2040991821352,0.39633998716025,0.270163965958359,0.634026126734241,0.868680330915125,0.95119397688259
3101-3102,0.236261831870345,0.11037116551295,0.0505473315872024,0.674908678649738,0.56275039535241,0.447356174146199,0.839838303727934,0.73000710876997,0.791790512150199
3191-3192,0.590025121865869,0.294711667013468,0.36136296324404,0.131550128385452,0.112362087744597,0.214577704511304,0.930886116595557,0.981793571339647,0.985325146164097
4001-4002,0.33335676372731,0.453239684867961,-0.126898723432032,-0.0210264451863745,0.373145860015327,-0.240643990305914,0.878025464430381,0.879559101258049,0.79542959350159
4091-4092,-0.037027388620293,-0.0897458576597893,0.503816100408385,-0.0938225112172775,0.12342004802498,-0.0129075829833346,0.825339388588922,0.841240220660167,0.77412331331473
4101-4102,-0.00659530860183269,0.242148835389401,0.283666445703094,0.691100293839998,0.111059925449435,0.274438665209316,0.613779495681589,0.8372287574688,0.851159263521144
4191-4192,0.222307662068805,0.158236749165757,0.250421808669054,0.392572910529804,0.731871580315682,0.611212431059771,0.765705039900748,0.887134252826459,0.641226022334218
5001-5002,0.0885314140345655,0.148157802553075,0.116620486277473,0.520569778388729,0.431251554946031,0.453904697968445,0.73490926430774,0.811749779000041,0.905311131140616
5091-5092,0.0401381411041791,0.0688285087655617,0.174651519586536,0.211607042377099,-0.281704349763485,0.537725932342381,0.805237444446334,0.760038719997333,0.766619400830456
5101-5102,-0.00625990979632516,0.182264179610923,0.282228773685006,0.245215008496808,0.0433153734935206,0.250593385962955,0.516806240323413,0.880634804309197,0.856995025180412
5191-5192,0.133438007261628,0.150367201672179,0.282282031503429,-0.0491536452226394,0.11639971046868,0.479245424960858,0.940885820812774,0.862259795011558,0.933299619755402
6001-6002,0.336310419468583,0.151193330486148,0.463490950135872,-0.328778731656111,0.288480312557171,0.0773564511067143,0.627491358520041,0.921141113404314,0.815456459608022
6091-6092,0.101616595925966,0.189852142275949,0.130059597507112,0.466326840884316,0.493117194197942,0.391016143229262,0.764380477845305,0.84554706737717,0.707177976156076
6101-6102,0.165684013057162,0.334121901624773,0.568622989275744,0.534414941001396,0.480034632230136,0.233547869169622,0.515817703697848,0.720430142060166,0.842374058729975
6191-6192,0.385681058832392,0.427009172906052,0.379023543898046,0.491632910756455,0.379072560670797,0.531944382139463,0.807374880475038,0.937562777332646,0.970810448928281
6919-0921,0.405055582244328,0.430504701837102,0.287774477375169,0.304445275361847,0.266562086822454,0.404289757242915,0.898357575953263,0.885479445807328,0.738183550434776
7001-7002,0.148117126608997,0.0237811314903381,0.096533553772755,-0.0437738020825899,0.303980399708771,0.048635864954012,0.909376803396615,0.888714451858936,0.894658849212799
7091-7092,0.0565219039139414,-0.0341610259310083,0.193811829985535,0.233502780130573,0.164566567271135,0.416371360112269,0.954436014996647,0.991481561475692,0.874582494598729
