Group,Session1Trial1,Session1Trial2,Session1Trial3,Session1Trial4,Session1Trial5,Session1Trial6,Session1Trial7,Session1Trial8,Session1Trial9
0011-0012,-0.269082008587004,-0.23258104132442,-0.232867878502843,-0.0133286039574669,0.0708106588913802,0.371082380132084,0.632299948843882,0.874293078560422,0.822515603391496
0021-0022,-0.0680111057667088,0.122664735449404,0.419211705832558,0.47092304099304,-0.0695386378507728,-0.25921767729525,0.801157849405028,0.640721436463746,0.584628183066116
0111-0112,0.00833693326835599,-0.130721755950541,-0.218319857029552,0.341781524813569,0.13612273838358,-0.0543587764124175,0.480997447484437,0.663193617656422,0.68921942892718
0121-0122,0.142863038773545,0.188753131091791,0.123878820279988,-0.433100421444882,-0.435002819231315,-0.376785771606405,0.535196052280334,0.438918685631469,0.659314799714705
0131-0132,0.114622067362923,-0.218276115044678,-0.253212983407649,-0.0567954513609942,0.0531656551220319,-0.27613975720511,0.486015690091774,0.422591356512391,0.674944112536968
1001-1002,-0.0613447540518025,-0.188576061285979,-0.0208481318105143,-0.0725987975754994,0.00783095973226834,0.150635493403031,0.791895576981626,0.757376295197584,0.771202997411595
1091-1092,0.10934140102848,0.214836728579188,-0.00406403892637087,0.422474193722641,-0.221566586259352,-0.284692705645422,0.635999761863949,0.544511372327351,0.433707991056488
1101-1102,-0.122872399666486,-0.0763878306044715,0.0432404236114904,-0.179150107909667,0.320752235310258,0.000564925286580441,0.801875180963551,0.67182750962768,0.858057261524308
1191-1192,0.125276878301333,-0.359094635469391,-0.278988458682266,-0.325578447509845,-0.258625812278345,-0.525084825289031,0.726832935090166,0.879750926399073,0.809201754899454
2001-2002,0.246548984381462,-0.324741138747136,0.112462618929905,-0.247719600032225,0.223053061802658,0.366862343461066,0.705362608099653,0.703435574281013,0.716902439071517
2091-2092,-0.0538307931893676,-0.20841325839092,0.323446652184431,0.186240742849037,0.209204188476509,0.258109723869616,0.436441247902316,0.698539543818456,0.930769230769231
2101-2102,0.25827283569834,0.184225417383779,-0.254076164927772,0.123702174769371,0.222798041395209,-0.219336288238103,0.780261210941999,0.714380393536073,0.503017400961236
2191-2192,-0.197104289711179,-0.0887887112122093,0.109299707197936,0.0740531480985859,0.156470720048699,-0.212324051841782,0.674256370813794,0.78939747566588,0.659181910875746
3001-3002,0.141316701530404,0.0710300511597519,-0.221277974403124,0.0840956996604593,0.276901857733018,0.113669940592973,0.923378729969242,0.955555555555556,0.942857142857143
